Edge P,Iso-Size,Approx Iso-Size,Recall,Precision,F1,Rel Frob,% Correct
0.6437751649736401,5,12.500(3.240),0.410(0.260),0.156(0.081),0.224(0.122),0.931(0.134),0.542(0.098),
0.46051701859880917,10,9.600(2.319),0.480(0.347),0.577(0.451),0.517(0.386),0.481(0.509),0.739(0.275),
0.36107336014696134,15,12.200(3.190),0.507(0.296),0.609(0.307),0.544(0.291),0.579(0.408),0.757(0.194),
0.2995732273553991,20,14.500(6.151),0.648(0.213),0.931(0.133),0.735(0.152),0.168(0.356),0.947(0.113),
0.257510065989456,25,15.600(4.377),0.582(0.131),0.953(0.125),0.711(0.126),0.097(0.308),0.968(0.101),
0.22674649211081035,30,19.700(5.208),0.653(0.181),0.990(0.032),0.775(0.149),0.048(0.152),0.988(0.038),
0.20316274637082363,35,25.600(3.950),0.728(0.111),0.996(0.011),0.837(0.076),0.000(0.000),1.000(0.000),
0.18444397270569682,40,26.000(5.735),0.650(0.143),1.000(0.000),0.779(0.108),0.000(0.000),1.000(0.000),
0.16918499954534755,45,32.100(5.607),0.713(0.125),1.000(0.000),0.827(0.088),0.000(0.000),1.000(0.000),
0.15648092021712584,50,32.300(9.068),0.646(0.181),1.000(0.000),0.767(0.178),0.000(0.000),1.000(0.000),
