Edge P,Iso-Size,Approx Iso-Size,Recall,Precision,F1,Rel Frob,% Correct
0.1,5,52.000(0.000),1.000(0.000),0.096(0.000),0.175(0.000),0.969(0.005),0.833(0.002),
0.325,5,52.000(0.000),1.000(0.000),0.096(0.000),0.175(0.000),0.971(0.003),0.830(0.001),
0.55,5,42.500(20.029),0.980(0.063),0.277(0.381),0.329(0.326),0.777(0.410),0.864(0.072),
0.775,5,28.200(25.090),0.940(0.097),0.548(0.476),0.554(0.402),0.490(0.516),0.913(0.091),
1.0,5,5.100(0.316),1.000(0.000),0.983(0.053),0.991(0.029),0.000(0.000),1.000(0.000),
0.1,10,52.000(0.000),1.000(0.000),0.192(0.000),0.322(0.000),0.980(0.013),0.831(0.004),
0.325,10,37.600(23.186),0.820(0.290),0.434(0.390),0.397(0.120),0.693(0.478),0.876(0.086),
0.55,10,12.200(14.062),0.790(0.145),0.910(0.254),0.804(0.183),0.099(0.312),0.981(0.059),
0.775,10,9.600(0.699),0.960(0.070),1.000(0.000),0.978(0.038),0.000(0.000),1.000(0.000),
1.0,10,10.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
0.1,15,52.000(0.000),1.000(0.000),0.288(0.000),0.447(0.000),0.999(0.034),0.828(0.010),
0.325,15,19.800(22.320),0.580(0.322),0.786(0.344),0.522(0.147),0.305(0.491),0.943(0.092),
0.55,15,12.400(1.897),0.820(0.130),0.992(0.026),0.893(0.084),0.000(0.000),1.000(0.000),
0.775,15,14.900(0.316),0.993(0.021),1.000(0.000),0.996(0.011),0.000(0.000),1.000(0.000),
1.0,15,15.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
0.1,20,52.000(0.000),1.000(0.000),0.385(0.000),0.556(0.000),1.007(0.019),0.830(0.008),
0.325,20,19.400(17.347),0.650(0.220),0.877(0.259),0.681(0.115),0.210(0.443),0.958(0.088),
0.55,20,16.800(1.549),0.840(0.077),1.000(0.000),0.911(0.045),0.000(0.000),1.000(0.000),
0.775,20,19.900(0.316),0.995(0.016),1.000(0.000),0.997(0.008),0.000(0.000),1.000(0.000),
1.0,20,20.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
0.1,25,52.000(0.000),1.000(0.000),0.481(0.000),0.650(0.000),1.051(0.020),0.819(0.014),
0.325,25,12.000(4.595),0.480(0.184),1.000(0.000),0.631(0.156),0.000(0.000),1.000(0.000),
0.55,25,22.600(1.955),0.904(0.078),1.000(0.000),0.948(0.044),0.000(0.000),1.000(0.000),
0.775,25,24.900(0.316),0.996(0.013),1.000(0.000),0.998(0.006),0.000(0.000),1.000(0.000),
1.0,25,25.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
0.1,30,52.000(0.000),1.000(0.000),0.577(0.000),0.732(0.000),1.101(0.029),0.820(0.014),
0.325,30,18.700(3.831),0.623(0.128),1.000(0.000),0.761(0.097),0.000(0.000),1.000(0.000),
0.55,30,29.400(0.843),0.980(0.028),1.000(0.000),0.990(0.015),0.000(0.000),1.000(0.000),
0.775,30,30.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
1.0,30,30.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
0.1,35,47.200(15.179),0.911(0.280),0.706(0.103),0.745(0.190),1.056(0.375),0.830(0.061),
0.325,35,19.100(5.195),0.546(0.149),1.000(0.000),0.693(0.152),0.000(0.000),1.000(0.000),
0.55,35,34.700(0.483),0.991(0.014),1.000(0.000),0.996(0.007),0.000(0.000),1.000(0.000),
0.775,35,35.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
1.0,35,35.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
0.1,40,47.200(15.179),0.910(0.285),0.792(0.073),0.800(0.217),1.081(0.381),0.827(0.064),
0.325,40,27.400(8.934),0.685(0.223),1.000(0.000),0.792(0.178),0.000(0.000),1.000(0.000),
0.55,40,39.700(0.675),0.992(0.017),1.000(0.000),0.996(0.009),0.000(0.000),1.000(0.000),
0.775,40,40.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
1.0,40,40.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
0.1,45,47.200(15.179),0.909(0.288),0.879(0.043),0.852(0.242),1.104(0.389),0.831(0.062),
0.325,45,28.300(10.188),0.629(0.227),1.000(0.000),0.750(0.179),0.000(0.000),1.000(0.000),
0.55,45,44.800(0.422),0.996(0.009),1.000(0.000),0.998(0.005),0.000(0.000),1.000(0.000),
0.775,45,45.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
1.0,45,45.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
0.1,50,47.200(15.179),0.908(0.291),0.966(0.012),0.898(0.263),1.164(0.410),0.841(0.057),
0.325,50,38.500(9.618),0.770(0.192),1.000(0.000),0.856(0.143),0.000(0.000),1.000(0.000),
0.55,50,49.900(0.316),0.998(0.006),1.000(0.000),0.999(0.003),0.000(0.000),1.000(0.000),
0.775,50,50.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
1.0,50,50.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
