Edge P,Iso-Size,Approx Iso-Size,Recall,Precision,F1,Rel Frob,% Correct
0.0,5,11.700(2.312),0.190(0.120),0.077(0.046),0.109(0.066),0.946(0.110),0.508(0.066),
0.0,10,11.000(2.160),0.180(0.059),0.164(0.045),0.170(0.050),0.978(0.084),0.489(0.051),
0.0,15,9.900(2.601),0.137(0.095),0.200(0.107),0.159(0.096),0.944(0.117),0.506(0.110),
0.0,20,8.900(3.604),0.113(0.054),0.252(0.068),0.150(0.061),0.774(0.339),0.623(0.183),
0.0,25,8.100(3.348),0.092(0.040),0.301(0.111),0.137(0.054),0.684(0.370),0.663(0.191),
0.0,30,9.900(15.125),0.143(0.303),0.305(0.112),0.144(0.211),0.453(0.430),0.846(0.154),
0.0,35,18.600(23.066),0.326(0.465),0.423(0.223),0.287(0.358),0.595(0.458),0.836(0.153),
0.0,40,14.900(19.757),0.260(0.393),0.554(0.169),0.275(0.322),0.665(0.441),0.817(0.142),
0.0,45,52.000(0.000),1.000(0.000),0.865(0.000),0.928(0.000),1.212(0.046),0.885(0.012),
0.0,50,52.000(0.000),1.000(0.000),0.962(0.000),0.981(0.000),1.342(0.036),0.914(0.007),
