Edge P,Iso-Size,Approx Iso-Size,Recall,Precision,F1,Rel Frob,% Correct
0.0,5,52.000(0.000),1.000(0.000),0.096(0.000),0.175(0.000),0.974(0.005),0.829(0.002),
0.0,10,52.000(0.000),1.000(0.000),0.192(0.000),0.322(0.000),0.988(0.011),0.827(0.005),
0.0,15,52.000(0.000),1.000(0.000),0.288(0.000),0.447(0.000),1.004(0.016),0.823(0.006),
0.0,20,52.000(0.000),1.000(0.000),0.385(0.000),0.556(0.000),1.018(0.017),0.820(0.009),
0.0,25,52.000(0.000),1.000(0.000),0.481(0.000),0.650(0.000),1.075(0.027),0.819(0.009),
0.0,30,52.000(0.000),1.000(0.000),0.577(0.000),0.732(0.000),1.097(0.030),0.832(0.012),
0.0,35,52.000(0.000),1.000(0.000),0.673(0.000),0.805(0.000),1.150(0.043),0.836(0.014),
0.0,40,52.000(0.000),1.000(0.000),0.769(0.000),0.869(0.000),1.157(0.030),0.859(0.013),
0.0,45,52.000(0.000),1.000(0.000),0.865(0.000),0.928(0.000),1.206(0.060),0.882(0.012),
0.0,50,52.000(0.000),1.000(0.000),0.962(0.000),0.981(0.000),1.282(0.061),0.908(0.014),
