Edge P,Iso-Size,Approx Iso-Size,Recall,Precision,F1,Rel Frob,% Correct
0.0,5,11.600(2.319),0.210(0.145),0.093(0.070),0.128(0.093),0.917(0.070),0.512(0.070),
0.0,10,10.900(2.923),0.170(0.114),0.157(0.095),0.159(0.095),0.913(0.137),0.522(0.089),
0.0,15,9.800(3.360),0.120(0.045),0.184(0.055),0.143(0.048),0.876(0.141),0.558(0.116),
0.0,20,8.100(2.514),0.100(0.044),0.246(0.076),0.139(0.052),0.860(0.166),0.564(0.118),
0.0,25,7.000(2.944),0.078(0.044),0.265(0.061),0.117(0.057),0.710(0.292),0.647(0.174),
0.0,30,6.700(4.900),0.070(0.076),0.289(0.084),0.104(0.092),0.530(0.415),0.781(0.192),
0.0,35,9.500(14.998),0.142(0.302),0.367(0.123),0.153(0.231),0.583(0.437),0.767(0.200),
0.0,40,27.700(25.621),0.516(0.510),0.568(0.218),0.464(0.427),0.671(0.598),0.910(0.084),
0.0,45,52.000(0.000),1.000(0.000),0.865(0.000),0.928(0.000),1.248(0.072),0.883(0.017),
0.0,50,52.000(0.000),1.000(0.000),0.962(0.000),0.981(0.000),1.332(0.061),0.911(0.011),
