Weight Range of Noise within 1σ,Iso-Size,Recall value
0.0,20 nodes,0.995
0.30000000000000004,20 nodes,0.9975
0.6000000000000001,20 nodes,1.0
0.9000000000000001,20 nodes,1.0
1.2000000000000002,20 nodes,1.0
1.5,20 nodes,0.99625
1.7999999999999998,20 nodes,0.99875
2.0999999999999996,20 nodes,1.0
2.4,20 nodes,0.99875
2.6999999999999997,20 nodes,1.0
2.9999999999999996,20 nodes,1.0
0.0,24 nodes,1.0
0.30000000000000004,24 nodes,1.0
0.6000000000000001,24 nodes,1.0
0.9000000000000001,24 nodes,0.9989583333333334
1.2000000000000002,24 nodes,1.0
1.5,24 nodes,1.0
1.7999999999999998,24 nodes,1.0
2.0999999999999996,24 nodes,1.0
2.4,24 nodes,1.0
2.6999999999999997,24 nodes,0.9989583333333334
2.9999999999999996,24 nodes,1.0
0.0,28 nodes,1.0
0.30000000000000004,28 nodes,1.0
0.6000000000000001,28 nodes,1.0
0.9000000000000001,28 nodes,1.0
1.2000000000000002,28 nodes,1.0
1.5,28 nodes,1.0
1.7999999999999998,28 nodes,1.0
2.0999999999999996,28 nodes,1.0
2.4,28 nodes,1.0
2.6999999999999997,28 nodes,1.0
2.9999999999999996,28 nodes,1.0
0.0,32 nodes,0.99921875
0.30000000000000004,32 nodes,1.0
0.6000000000000001,32 nodes,1.0
0.9000000000000001,32 nodes,1.0
1.2000000000000002,32 nodes,1.0
1.5,32 nodes,1.0
1.7999999999999998,32 nodes,1.0
2.0999999999999996,32 nodes,1.0
2.4,32 nodes,1.0
2.6999999999999997,32 nodes,1.0
2.9999999999999996,32 nodes,1.0
