Weight Range of Noise within 1σ,Iso-Size,Precision value
0.0,20 nodes,0.8124674254059562
0.30000000000000004,20 nodes,0.8008060064028047
0.6000000000000001,20 nodes,0.8153405934187419
0.9000000000000001,20 nodes,0.8017247786184286
1.2000000000000002,20 nodes,0.7730130841252991
1.5,20 nodes,0.7742458493796636
1.7999999999999998,20 nodes,0.769605328492745
2.0999999999999996,20 nodes,0.7479146151604983
2.4,20 nodes,0.7174907515711059
2.6999999999999997,20 nodes,0.7560243502010925
2.9999999999999996,20 nodes,0.7406152976128674
0.0,24 nodes,0.8552620479027597
0.30000000000000004,24 nodes,0.8890699760010105
0.6000000000000001,24 nodes,0.8571655903421754
0.9000000000000001,24 nodes,0.8757314607126898
1.2000000000000002,24 nodes,0.857462892544143
1.5,24 nodes,0.8787893620407524
1.7999999999999998,24 nodes,0.8704281293419225
2.0999999999999996,24 nodes,0.8543207961910932
2.4,24 nodes,0.8527836751425707
2.6999999999999997,24 nodes,0.8333725909384975
2.9999999999999996,24 nodes,0.8450109412950314
0.0,28 nodes,0.904977642766076
0.30000000000000004,28 nodes,0.9210857317697025
0.6000000000000001,28 nodes,0.9239814229615397
0.9000000000000001,28 nodes,0.9193027395759599
1.2000000000000002,28 nodes,0.9026214704626584
1.5,28 nodes,0.9192102918374347
1.7999999999999998,28 nodes,0.8988119420502215
2.0999999999999996,28 nodes,0.9017351135182222
2.4,28 nodes,0.8956108635097954
2.6999999999999997,28 nodes,0.8926012253167017
2.9999999999999996,28 nodes,0.8975204397075512
0.0,32 nodes,0.9416025804261098
0.30000000000000004,32 nodes,0.9403884265029776
0.6000000000000001,32 nodes,0.9395681433916728
0.9000000000000001,32 nodes,0.9449299719887955
1.2000000000000002,32 nodes,0.9354617924586964
1.5,32 nodes,0.9360114062436043
1.7999999999999998,32 nodes,0.9504575483368053
2.0999999999999996,32 nodes,0.9410834669658199
2.4,32 nodes,0.9316617687205923
2.6999999999999997,32 nodes,0.9382939523496798
2.9999999999999996,32 nodes,0.9368491639079874
