Weight Range of Noise within 1σ,Iso-Size,Recall value
0.0,20 nodes,0.9349999999999999
0.75,20 nodes,0.965
1.5,20 nodes,0.84
2.25,20 nodes,0.71
3.0,20 nodes,0.47500000000000003
3.75,20 nodes,0.34750000000000003
4.5,20 nodes,0.4575
5.25,20 nodes,0.59
6.0,20 nodes,0.48
0.0,24 nodes,0.9583333333333334
0.75,24 nodes,0.9708333333333333
1.5,24 nodes,0.9166666666666666
2.25,24 nodes,0.8583333333333333
3.0,24 nodes,0.63125
3.75,24 nodes,0.42083333333333334
4.5,24 nodes,0.5020833333333333
5.25,24 nodes,0.4145833333333333
6.0,24 nodes,0.5041666666666667
0.0,28 nodes,0.9821428571428572
0.75,28 nodes,0.9857142857142858
1.5,28 nodes,0.9785714285714285
2.25,28 nodes,0.8857142857142857
3.0,28 nodes,0.6339285714285714
3.75,28 nodes,0.6
4.5,28 nodes,0.4089285714285714
5.25,28 nodes,0.39821428571428574
6.0,28 nodes,0.45714285714285713
0.0,32 nodes,0.978125
0.75,32 nodes,0.9875
1.5,32 nodes,0.98125
2.25,32 nodes,0.9171875
3.0,32 nodes,0.71875
3.75,32 nodes,0.4796875
4.5,32 nodes,0.4328125
5.25,32 nodes,0.4703125
6.0,32 nodes,0.44375
