Weight Range of Noise within 1σ,Iso-Size,Precision value
0.0,20 nodes,1.0
0.75,20 nodes,1.0
1.5,20 nodes,1.0
2.25,20 nodes,1.0
3.0,20 nodes,0.9846590909090909
3.75,20 nodes,0.9738636363636364
4.5,20 nodes,0.8363377667653984
5.25,20 nodes,0.7567921963465442
6.0,20 nodes,0.7954630336983278
0.0,24 nodes,1.0
0.75,24 nodes,1.0
1.5,24 nodes,1.0
2.25,24 nodes,1.0
3.0,24 nodes,1.0
3.75,24 nodes,0.9823989898989899
4.5,24 nodes,0.904003942865645
5.25,24 nodes,0.9047565242205335
6.0,24 nodes,0.8499206533643017
0.0,28 nodes,1.0
0.75,28 nodes,1.0
1.5,28 nodes,1.0
2.25,28 nodes,1.0
3.0,28 nodes,0.9973684210526316
3.75,28 nodes,0.998
4.5,28 nodes,0.9928205128205129
5.25,28 nodes,0.9257310794646321
6.0,28 nodes,0.8850569740230746
0.0,32 nodes,1.0
0.75,32 nodes,1.0
1.5,32 nodes,1.0
2.25,32 nodes,1.0
3.0,32 nodes,1.0
3.75,32 nodes,1.0
4.5,32 nodes,0.9826388888888888
5.25,32 nodes,0.9354148629148629
6.0,32 nodes,0.9608036890645586
