Weight Range of Noise within 1σ,Iso-Size,Precision value
0.0,20 nodes,1.0
0.75,20 nodes,1.0
1.5,20 nodes,1.0
2.25,20 nodes,1.0
3.0,20 nodes,0.731
3.75,20 nodes,0.404
4.5,20 nodes,0.4568
5.25,20 nodes,0.2304
6.0,20 nodes,0.4
0.0,24 nodes,1.0
0.75,24 nodes,1.0
1.5,24 nodes,1.0
2.25,24 nodes,1.0
3.0,24 nodes,0.9636
3.75,24 nodes,0.9156
4.5,24 nodes,0.6562
5.25,24 nodes,0.6222
6.0,24 nodes,0.4628
0.0,28 nodes,1.0
0.75,28 nodes,1.0
1.5,28 nodes,1.0
2.25,28 nodes,1.0
3.0,28 nodes,1.0
3.75,28 nodes,0.839
4.5,28 nodes,0.78
5.25,28 nodes,0.6278
6.0,28 nodes,0.5826
0.0,32 nodes,1.0
0.75,32 nodes,1.0
1.5,32 nodes,1.0
2.25,32 nodes,1.0
3.0,32 nodes,1.0
3.75,32 nodes,1.0
4.5,32 nodes,0.6426000000000001
5.25,32 nodes,0.4868
6.0,32 nodes,0.5494
