Weight Range of Noise within 1σ,Iso-Size,Recall value
0.0,20 nodes,0.9299999999999999
0.75,20 nodes,0.94
1.5,20 nodes,0.85
2.25,20 nodes,0.72
3.0,20 nodes,0.45
3.75,20 nodes,0.305
4.5,20 nodes,0.355
5.25,20 nodes,0.415
6.0,20 nodes,0.08499999999999999
0.0,24 nodes,0.9666
0.75,24 nodes,0.9584
1.5,24 nodes,0.9581999999999999
2.25,24 nodes,0.7498
3.0,24 nodes,0.675
3.75,24 nodes,0.4876
4.5,24 nodes,0.2416
5.25,24 nodes,0.325
6.0,24 nodes,0.675
0.0,28 nodes,0.9783999999999999
0.75,28 nodes,0.9858
1.5,28 nodes,0.95
2.25,28 nodes,0.7928
3.0,28 nodes,0.6214
3.75,28 nodes,0.5786
4.5,28 nodes,0.2894
5.25,28 nodes,0.4714
6.0,28 nodes,0.5322
0.0,32 nodes,0.9876
0.75,32 nodes,0.9812
1.5,32 nodes,0.9813999999999999
2.25,32 nodes,0.8503999999999999
3.0,32 nodes,0.7438
3.75,32 nodes,0.4346
4.5,32 nodes,0.725
5.25,32 nodes,0.7313999999999999
6.0,32 nodes,0.8406
