Weight Range of Noise within 1σ,Iso-Size,F1 value
0.0,20 nodes,0.8859909757355577
0.75,20 nodes,0.4057776129856219
1.5,20 nodes,0.38540496540496544
2.25,20 nodes,0.37615384615384617
3.0,20 nodes,0.3711640211640212
3.75,20 nodes,0.4032967032967033
4.5,20 nodes,NaN
5.25,20 nodes,NaN
6.0,20 nodes,0.4844435831337945
0.0,24 nodes,0.9340052953738629
0.75,24 nodes,0.46482438468468695
1.5,24 nodes,0.46138590879773894
2.25,24 nodes,0.48268525320886563
3.0,24 nodes,0.42446846551341744
3.75,24 nodes,0.41939417591285677
4.5,24 nodes,0.4834856295637883
5.25,24 nodes,0.45749801332883844
6.0,24 nodes,0.4934983624303417
0.0,28 nodes,0.959494261031442
0.75,28 nodes,0.4496197341265962
1.5,28 nodes,0.4413986058396785
2.25,28 nodes,0.5288827382299487
3.0,28 nodes,0.46554406271799936
3.75,28 nodes,0.5049194234617477
4.5,28 nodes,0.5062604138918173
5.25,28 nodes,0.5685122835214339
6.0,28 nodes,0.5667643338124883
0.0,32 nodes,0.9602765239914294
0.75,32 nodes,0.5638333737126998
1.5,32 nodes,0.4721829884074703
2.25,32 nodes,0.5198651911858354
3.0,32 nodes,0.5274973405268621
3.75,32 nodes,0.528636364246836
4.5,32 nodes,0.4386893829017179
5.25,32 nodes,0.5128859225537203
6.0,32 nodes,0.5033051183197014
