Weight Range of Noise within 1σ,Iso-Size,Recall value
0.0,20 nodes,0.8
0.75,20 nodes,0.5425
1.5,20 nodes,0.5225
2.25,20 nodes,0.555
3.0,20 nodes,0.5925
3.75,20 nodes,0.58
4.5,20 nodes,0.4625
5.25,20 nodes,0.40499999999999997
6.0,20 nodes,0.45125
0.0,24 nodes,0.8791666666666667
0.75,24 nodes,0.38958333333333334
1.5,24 nodes,0.3041666666666667
2.25,24 nodes,0.446875
3.0,24 nodes,0.35000000000000003
3.75,24 nodes,0.38958333333333334
4.5,24 nodes,0.3989583333333333
5.25,24 nodes,0.346875
6.0,24 nodes,0.45625
0.0,28 nodes,0.925
0.75,28 nodes,0.3339285714285714
1.5,28 nodes,0.39821428571428574
2.25,28 nodes,0.37589285714285714
3.0,28 nodes,0.39017857142857143
3.75,28 nodes,0.3508928571428571
4.5,28 nodes,0.35446428571428573
5.25,28 nodes,0.41785714285714287
6.0,28 nodes,0.4303571428571428
0.0,32 nodes,0.925
0.75,32 nodes,0.40625
1.5,32 nodes,0.321875
2.25,32 nodes,0.3625
3.0,32 nodes,0.378125
3.75,32 nodes,0.37890625
4.5,32 nodes,0.290625
5.25,32 nodes,0.35703125
6.0,32 nodes,0.35703125
