Weight Range of Noise within 1σ,Iso-Size,Precision value
0.0,20 nodes,1.0
0.75,20 nodes,1.0
1.5,20 nodes,1.0
2.25,20 nodes,0.3367647685684186
3.0,20 nodes,0.14118063660212865
3.75,20 nodes,0.16353420002294064
4.5,20 nodes,0.18415058322593492
5.25,20 nodes,0.17593657701976137
6.0,20 nodes,0.10611314430454026
0.0,24 nodes,1.0
0.75,24 nodes,1.0
1.5,24 nodes,1.0
2.25,24 nodes,0.6169643873023097
3.0,24 nodes,0.6761327503974564
3.75,24 nodes,0.2524368339342876
4.5,24 nodes,0.49198638542616324
5.25,24 nodes,0.40779896771935964
6.0,24 nodes,0.6323672619404327
0.0,28 nodes,1.0
0.75,28 nodes,1.0
1.5,28 nodes,0.700092284976006
2.25,28 nodes,0.6738614936289355
3.0,28 nodes,0.7191314228220518
3.75,28 nodes,0.6991550570170186
4.5,28 nodes,0.6650980047206463
5.25,28 nodes,0.5183335792328164
6.0,28 nodes,0.6032293178519593
0.0,32 nodes,0.9507936507936507
0.75,32 nodes,0.9156545209176787
1.5,32 nodes,0.7150542203173782
2.25,32 nodes,0.84004884004884
3.0,32 nodes,0.7216061900447283
3.75,32 nodes,0.8029423151374371
4.5,32 nodes,0.7832893393869004
5.25,32 nodes,0.7646393903021687
6.0,32 nodes,0.7978671234485188
