Weight Range of Noise within 1σ,Iso-Size,Relative Frobenius value
0.0,20 nodes,0.0
0.75,20 nodes,0.0
1.5,20 nodes,0.0
2.25,20 nodes,1.2884745541748626
3.0,20 nodes,1.340093467028439
3.75,20 nodes,1.3211093746733245
4.5,20 nodes,1.321222935657488
5.25,20 nodes,1.3406272852392556
6.0,20 nodes,1.3585211120795937
0.0,24 nodes,0.0
0.75,24 nodes,0.0
1.5,24 nodes,0.0
2.25,24 nodes,1.1633856181325162
3.0,24 nodes,1.1711941711159244
3.75,24 nodes,1.3229689331454417
4.5,24 nodes,1.2228474935575284
5.25,24 nodes,1.2496990483376376
6.0,24 nodes,1.1296685355866256
0.0,28 nodes,0.0
0.75,28 nodes,0.0
1.5,28 nodes,1.1708858676942557
2.25,28 nodes,1.149560797300845
3.0,28 nodes,1.1666005174628458
3.75,28 nodes,1.1322802113139532
4.5,28 nodes,1.1818351767971436
5.25,28 nodes,1.266738016101377
6.0,28 nodes,1.2068301142729951
0.0,32 nodes,0.5421317275679799
0.75,32 nodes,0.540315453669136
1.5,32 nodes,1.1410907564527113
2.25,32 nodes,1.0735684527911067
3.0,32 nodes,1.169413341088549
3.75,32 nodes,1.1157279948868648
4.5,32 nodes,1.1496670769406192
5.25,32 nodes,1.1495240576357764
6.0,32 nodes,1.1174256831655573
