Weight Range of Noise within 1σ,Iso-Size,Relative Frobenius value
0.0,20 nodes,0.0
0.75,20 nodes,0.0
1.5,20 nodes,0.6334189073552525
2.25,20 nodes,1.3120088226757143
3.0,20 nodes,1.3327164094076858
3.75,20 nodes,1.288475063135364
4.5,20 nodes,1.313011522162107
5.25,20 nodes,1.3314411261823142
6.0,20 nodes,1.299454639193933
0.0,24 nodes,0.0
0.75,24 nodes,0.0
1.5,24 nodes,0.0
2.25,24 nodes,1.2566903519125914
3.0,24 nodes,1.2070591885130177
3.75,24 nodes,1.269629631126446
4.5,24 nodes,1.2904946247887241
5.25,24 nodes,1.259066886319204
6.0,24 nodes,1.3020319580526503
0.0,28 nodes,0.0
0.75,28 nodes,0.0
1.5,28 nodes,1.2573949194389225
2.25,28 nodes,1.1634661037398397
3.0,28 nodes,1.2300090958344136
3.75,28 nodes,1.246725307619232
4.5,28 nodes,1.2039494722322874
5.25,28 nodes,1.268046183154126
6.0,28 nodes,1.2048776758529682
0.0,32 nodes,1.189002018638286
0.75,32 nodes,1.1702710698455607
1.5,32 nodes,1.1860660585359577
2.25,32 nodes,1.1792709347415582
3.0,32 nodes,1.1814603950993234
3.75,32 nodes,1.1344460163812962
4.5,32 nodes,1.2271242527543103
5.25,32 nodes,1.1659613653371912
6.0,32 nodes,1.198036834852893
