Weight Range of Noise within 1σ,Iso-Size,G1 Edge Sums, G2 Edge Sums, Abs Diff
0.0,20 nodes,14437.71848198323,13853.598982936168,1687.7016572513176
0.75,20 nodes,14264.571983265678,13526.498030060522,738.0739532051557
1.5,20 nodes,20319.56567893395,19725.816090085165,593.7495888487829
2.25,20 nodes,26671.228799213546,26851.781891363666,270.71684668690796
3.0,20 nodes,29582.453311756166,30534.815842112246,952.3625303560802
3.75,20 nodes,26358.019978199613,27296.740681940573,1006.219566065165
4.5,20 nodes,27268.542196346098,28015.859293932277,747.3170975861794
5.25,20 nodes,30491.300329907233,30563.774676899317,673.0064624595198
6.0,20 nodes,27835.43247668902,28280.450530329574,1145.6813930529843
0.0,24 nodes,18112.142063635776,17715.1810431345,396.9610205012741
0.75,24 nodes,19021.879337689857,18570.597952084678,1420.7243679667736
1.5,24 nodes,17923.132545084893,16900.19871659371,1022.933828491181
2.25,24 nodes,29989.798696101607,30661.937020041136,672.1383239395273
3.0,24 nodes,28959.435123508338,30570.287681527938,1610.8525580196
3.75,24 nodes,29470.16060067014,31161.203191850385,1691.042591180243
4.5,24 nodes,31605.686706440985,30747.622760907732,980.3553233870061
5.25,24 nodes,30533.6449782811,31151.064571994895,617.4195937137974
6.0,24 nodes,31562.071197991077,31415.1779306803,518.5248453115037
0.0,28 nodes,23406.90590531988,24582.217012148365,1175.3111068284852
0.75,28 nodes,23930.297333337934,24441.634721419687,592.0280463995168
1.5,28 nodes,33712.69440932228,33881.67531398279,1321.966806697972
2.25,28 nodes,31307.20798397257,33068.36910335361,1761.1611193810386
3.0,28 nodes,33315.23704097811,34156.691206997755,2020.873346289287
3.75,28 nodes,34994.92806981255,35575.23698334537,830.1231240366178
4.5,28 nodes,35386.48458966816,35229.907541071865,1093.4405914017989
5.25,28 nodes,33664.0939486622,35064.808522068466,1400.7145734062651
6.0,28 nodes,35096.039892103974,35063.097782914745,729.3193194774285
0.0,32 nodes,39624.04714078196,39761.9465980798,971.9003891368884
0.75,32 nodes,40110.23550373109,38212.83522817262,1897.4002755584734
1.5,32 nodes,38269.58235759473,39669.470938296974,1399.8885807022452
2.25,32 nodes,36795.70740712718,37969.93248543986,1174.2250783126765
3.0,32 nodes,40542.26830528067,39041.090465137626,1501.1778401430383
3.75,32 nodes,40009.36242680116,39123.675149585644,885.6872772155257
4.5,32 nodes,41846.61236043896,40170.2329268325,1676.3794336064602
5.25,32 nodes,39507.70804753839,38860.634833429925,900.3346021957077
6.0,32 nodes,38754.2507560114,37399.25268808901,1569.651574586038
