Weight Range of Noise within 1σ,Iso-Size,G1 Edge Sums, G2 Edge Sums, Abs Diff
0.0,20 nodes,11480.870978627954,11362.200419548355,523.4154832626934
0.75,20 nodes,389961.06797167397,368577.4962420995,21801.110735006816
1.5,20 nodes,658192.3335326491,676064.8878414606,25210.999498901594
2.25,20 nodes,581805.7724724219,571981.4361364048,19026.9431104571
3.0,20 nodes,297497.95730717294,297268.11087024846,13916.83030678716
3.75,20 nodes,469011.5092409502,453388.4764780111,28060.23796427437
4.5,20 nodes,440752.3805526775,449444.1177549378,19243.30314507082
5.25,20 nodes,234695.065019872,224312.79425793298,11097.76864286306
6.0,20 nodes,222490.95892125144,234090.75057545735,15803.07974964671
0.0,24 nodes,16258.762979012174,16177.893252896994,420.9159343171397
0.75,24 nodes,172555.11234050352,170625.30027713743,7705.93740614277
1.5,24 nodes,592356.406958081,590006.0977795057,20850.96395195934
2.25,24 nodes,171239.72032558516,169705.43440180292,6836.669386117189
3.0,24 nodes,426107.2170215235,432668.09344858455,23023.284301656335
3.75,24 nodes,254241.6077644246,265535.5419721737,16199.772087217414
4.5,24 nodes,167843.46002912635,175305.9121776911,7756.524039608228
5.25,24 nodes,171477.30464500454,171531.6888059932,11889.365084623963
6.0,24 nodes,89800.25055166759,88853.16191877579,1507.247912062423
0.0,28 nodes,21297.91806895805,21073.435570835274,515.9217064814493
0.75,28 nodes,8786.423581340014,8494.351401361952,522.8574053986199
1.5,28 nodes,188280.53668494985,195856.5154975023,10624.159854263951
2.25,28 nodes,105100.32797280622,113296.83953813267,8481.635483440517
3.0,28 nodes,101548.72316882174,107903.90259323885,6864.914486224513
3.75,28 nodes,199583.23171751475,201331.27158741775,6697.540096095644
4.5,28 nodes,9628.754464312195,9533.52757235233,458.5691360061525
5.25,28 nodes,107461.32595904554,106485.4551768881,1464.443910715675
6.0,28 nodes,13047.85488516131,13159.834403441164,598.385533888148
0.0,32 nodes,27797.78805366547,27650.4266766334,477.09271279434944
0.75,32 nodes,11565.490885957255,11343.390379519034,594.1343597770991
1.5,32 nodes,10295.282332150835,10061.562711360177,330.7862927353341
2.25,32 nodes,240117.9066238707,231409.13720434517,9188.251004033264
3.0,32 nodes,11797.966892113378,11632.880487141827,326.2688325815042
3.75,32 nodes,13792.025750195337,13876.859713233962,583.5839392417552
4.5,32 nodes,13617.20288686409,13667.989448062579,611.1078895518111
5.25,32 nodes,17625.476138154696,17470.706594395553,762.5200450121845
6.0,32 nodes,12998.843267812848,13332.205188273334,866.0868463870523
